gtdb_species,internal_id,sample_source,PRODUCT
Acinetobacter modestus,HN047,mosquito_larval_water,10
Acinetobacter modestus,HN068,mosquito_larval_water,13
Acinetobacter modestus,HN123,mosquito,13
Acinetobacter modestus,HN126,mosquito,13
Acinetobacter modestus,HN127,mosquito,13
Acinetobacter modestus,HN132,mosquito_larval_water,14
Acinetobacter nosocomialis,M51,mosquito,97
Acinetobacter nosocomialis,MMO-128,mosquito_larval_water,97
Acinetobacter nosocomialis,MMO-143,mosquito,97
Acinetobacter nosocomialis,VD14,mosquito,97
Acinetobacter pittii,HN067,mosquito_larval_water,101
Acinetobacter pittii,HN071,mosquito_larval_water,101
Acinetobacter pittii,HN093,mosquito_larval_water,101
Acinetobacter pittii,HN099,mosquito_larval_water,101
Acinetobacter pittii,MMO-130,mosquito_larval_water,101
Acinetobacter pittii,MMO-131,mosquito_larval_water,101
Acinetobacter pittii,MMO-163,mosquito,101
Aeromonas hydrophila,MMO-14,mosquito_larval_water,201
Aeromonas hydrophila,MMO-36,mosquito_larval_water,201
Aeromonas hydrophila,MMO-41,mosquito_larval_water,201
Aeromonas hydrophila,MMO-44,mosquito_larval_water,201
Aeromonas hydrophila,S242,mosquito,175
Aeromonas hydrophila,USHLN021,mosquito,205
Cedecea sp000277545,AS113,mosquito_larval_water,29
Cedecea sp000277545,HN178,mosquito_larval_water,29
Cedecea sp000277545,MMO-103,mosquito,29
Cedecea sp000277545,USHLN005,mosquito,28
Cedecea sp000277545,VD19,mosquito,27
Cedecea sp000277545,VD20,mosquito,27
Cedecea sp000277545,VD21,mosquito,27
Cedecea sp000277545,VD22,mosquito,27
Cedecea sp000277545,VD23,mosquito,27
Cedecea sp000277545,VD25,mosquito,27
Cedecea sp000277545,VD26,mosquito,27
Cedecea sp000277545,VD27,mosquito,27
Cedecea sp000277545,VD28,mosquito,27
Cedecea sp000277545,VD31,mosquito,27
Cedecea sp000277545,VD32,mosquito,27
Chania oryzae,HN079,mosquito,16
Chania oryzae,MMO-151,mosquito_larval_water,14
Chania oryzae,MMO-24,mosquito,14
Chania oryzae,MMO-28,mosquito,14
Chryseobacterium sp013153155,MMO-127,mosquito_larval_water,0
Chryseobacterium sp013153155,MMO-55,mosquito,0
Chryseobacterium sp013153155,MMO-72,mosquito_larval_water,0
Chryseobacterium sp013153155,VD8,mosquito,0
Comamonas acidovorans,MMO-109,mosquito,1
Comamonas acidovorans,MMO-42,mosquito_larval_water,1
Elizabethkingia anophelis,MMO-105,mosquito,0
Elizabethkingia anophelis,MMO-16,mosquito_larval_water,0
Elizabethkingia anophelis,MMO-21,mosquito_larval_water,0
Elizabethkingia anophelis,USMM094,mosquito,0
Elizabethkingia anophelis,USMM095,mosquito,0
Elizabethkingia anophelis,USMM096,mosquito,0
Elizabethkingia anophelis,USMM097,mosquito,0
Enterobacter asburiae_B,HN069,mosquito_larval_water,48
Enterobacter asburiae_B,HN073,mosquito_larval_water,48
Enterobacter asburiae_B,HN087,mosquito_larval_water,48
Enterobacter asburiae_B,HN091,mosquito_larval_water,48
Enterobacter asburiae_B,HN120,mosquito,46
Enterobacter asburiae_B,HN124,mosquito,46
Enterobacter asburiae_B,HN125,mosquito,46
Enterobacter asburiae_B,MMO-110,mosquito,48
Enterobacter asburiae_B,MMO-116,mosquito,48
Enterobacter asburiae_B,MMO-119,mosquito,48
Enterobacter asburiae_B,MMO-122,mosquito,48
Enterobacter asburiae_B,MMO-37,mosquito_larval_water,48
Enterobacter asburiae_B,MMO-38,mosquito_larval_water,48
Enterobacter asburiae_B,USMM051,mosquito,48
Enterobacter asburiae_B,USMM053,mosquito,48
Enterobacter asburiae_B,USMM054,mosquito,48
Enterobacter asburiae_B,USMM055,mosquito,48
Enterobacter asburiae_B,USMM058,mosquito,48
Enterobacter asburiae_B,USMM059,mosquito,48
Enterobacter asburiae_B,USMM061,mosquito,48
Enterobacter asburiae_B,USMM062,mosquito,48
Enterobacter asburiae_B,USMM063,mosquito,48
Enterobacter asburiae_B,USMM064,mosquito,48
Enterobacter asburiae_B,USMM072,mosquito,48
Enterobacter hormaechei_A,AS091,mosquito_larval_water,59
Enterobacter hormaechei_A,AS212,non_mosquito_Diptera_host,46
Enterobacter hormaechei_A,USHLN262,mosquito,55
Enterobacter hormaechei_A,USHLN270,mosquito,52
Enterobacter hormaechei_A,USHLN271,mosquito,55
Enterobacter hormaechei_A,USHLN291,mosquito,52
Enterobacter hormaechei_A,USHLN296,mosquito,52
Enterobacter roggenkampii,AS124,mosquito_larval_water,49
Enterobacter roggenkampii,HN007,mosquito,49
Enterobacter roggenkampii,HN049,mosquito_larval_water,49
Enterobacter roggenkampii,HN065,mosquito_larval_water,49
Enterobacter roggenkampii,HN100,mosquito_larval_water,49
Enterobacter roggenkampii,HN109,mosquito,49
Enterobacter roggenkampii,HN110,mosquito,49
Enterobacter roggenkampii,HN176,mosquito_larval_water,49
Enterobacter roggenkampii,MMO-120,mosquito,49
Enterobacter roggenkampii,MMO-126,mosquito_larval_water,49
Enterobacter roggenkampii,MMO-43,mosquito_larval_water,49
Enterobacter roggenkampii,MMO-45,mosquito_larval_water,49
Enterobacter roggenkampii,MMO-83,mosquito,49
Enterobacter roggenkampii,MMO-84,mosquito,49
Enterobacter roggenkampii,MMO-88,mosquito,49
Enterobacter roggenkampii,MMO-89,mosquito,49
Enterobacter roggenkampii,MMO-90,mosquito,49
Enterobacter roggenkampii,MMO-94,mosquito,49
Leclercia adecarboxylata,HN037,mosquito_larval_water,44
Leclercia adecarboxylata,USHLN288,mosquito,44
Leclercia adecarboxylata,USHLN290,mosquito,44
Leclercia adecarboxylata,USHLN292,mosquito,44
Leclercia adecarboxylata,USHLN295,mosquito,46
Leucobacter sp000980875,MMO-39,mosquito_larval_water,0
Leucobacter sp000980875,MMO-4,mosquito,0
Leucobacter sp000980875,MMO-40,mosquito_larval_water,0
Leucobacter sp000980875,MMO-57,mosquito,0
Leucobacter sp000980875,MMO-71,mosquito_larval_water,0
Methylobacterium organophilum,MMO-173,mosquito_larval_water,1
Methylobacterium organophilum,MMO-175,mosquito,1
Microbacterium sp003248845,MMO-153,mosquito,0
Microbacterium sp003248845,MMO-159,mosquito,0
Microbacterium sp003248845,MMO-20,mosquito_larval_water,0
Microbacterium sp003248845,MMO-64,mosquito_larval_water,0
Microbacterium sp003248845,MMO-78,mosquito,0
Microbacterium sp017306305,MMO-10,mosquito_larval_water,0
Microbacterium sp017306305,MMO-138,mosquito,0
Microbacterium sp017306305,MMO-23,mosquito,0
Microbacterium sp017306305,MMO-32,mosquito,0
Microbacterium sp017306305,MMO-35,mosquito_larval_water,0
Micrococcus luteus,MMO-136,mosquito,2
Micrococcus luteus,MMO-141,mosquito,2
Micrococcus luteus,MMO-154,mosquito,2
Micrococcus luteus,MMO-26,mosquito,2
Micrococcus luteus,MMO-27,mosquito,2
Micrococcus luteus,MMO-29,mosquito,2
Micrococcus luteus,MMO-67,mosquito_larval_water,2
Micrococcus luteus,USHLN229,mosquito,2
Micrococcus luteus,USHLN230,mosquito,2
Micrococcus luteus,USHLN232,mosquito,2
Serratia marcescens,AS083,mosquito_larval_water,22
Serratia marcescens,AS093,mosquito_larval_water,23
Serratia marcescens,AS214,non_mosquito_Diptera_host,22
Serratia marcescens,HN039,mosquito_larval_water,22
Sphingobacterium multivorum,MMO-54,mosquito_larval_water,0
Sphingobacterium multivorum,MMO-68,mosquito_larval_water,0
Sphingobacterium multivorum,MMO-80,mosquito,0
Sphingobacterium multivorum,MMO-87,mosquito,0
